Locus_id,Gene,Number of bases,Number of SNPs,Number of silent SNPs,Number of non-silent SNPs,Density (SNPs/bp),P-value,Product,Functional category,Subcellular localization,Bvg regulation
BP0459,-,2622,7,4,3,0.00267,1.5931,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP0441,-,375,1,0,1,0.00267,1.5268,MerR-family transcriptional regulator,regulation,Cytoplasmic,
BP1831,-,375,1,0,1,0.00267,1.5252,hypothetical protein,unknown,Unknown,
BP2074,-,375,1,0,1,0.00267,1.5235,putative DNA-binding protein,miscellaneous,Unknown,
BP2656,-,375,1,0,1,0.00267,1.5219,putative exported protein,cell surface,Cytoplasmic Membrane,
BP2698,-,375,1,0,1,0.00267,1.5203,endonuclease,macromolecule synthesis/modification,Unknown,
BP3397,-,750,2,1,1,0.00267,1.5933,putative inner membrane protein,cell surface,Cytoplasmic Membrane,+
BP2832,-,1128,3,0,3,0.00266,1.6216,"ABC transport protein, ATP-binding component",transport/binding proteins,Cytoplasmic Membrane,
BP1046,secD,1881,5,4,1,0.00266,1.6865,protein-export membrane protein,transport/binding proteins,Cytoplasmic Membrane,
BP0607,gpm,753,2,1,1,0.00266,1.5968,phosphoglycerate mutase 1,energy metabolism,Cytoplasmic,
BP1573,glnH,753,2,1,1,0.00266,1.5941,glutamine-binding periplasmic protein precursor,transport/binding proteins,Periplasmic,
BP2836,-,753,2,1,2,0.00266,1.5914,putative DNA-binding protein,miscellaneous,Unknown,+
BP0280,degQ,1133,3,2,1,0.00265,1.6166,protease,macromolecule degradation,Periplasmic,
BP0244,mutL,1890,5,2,3,0.00265,1.6746,DNA mismatch repair protein,macromolecule synthesis/modification,Cytoplasmic,
BP0511,-,378,1,0,1,0.00265,1.5264,phage-related hypothetical protein,transport/binding proteins,Unknown,
BP1380,fla FIX,1134,3,0,3,0.00265,1.6156,flagellar P-ring protein precursor,cell processes,Periplasmic,
BP1672,fabG,756,2,0,2,0.00265,1.5922,3-oxoacyl-[acyl-carrier protein] reductase,fatty acid metabolism,Unknown,
BP3095,modB,756,2,1,1,0.00265,1.5896,molybdate-binding periplasmic protein precursor,transport/binding proteins,Periplasmic,
BP3295,-,1134,3,2,1,0.00265,1.6118,putative peptidase,macromolecule degradation,Cytoplasmic,+
BP0466,-,759,2,1,1,0.00264,1.5957,alcohol dehydrogenase,miscellaneous,Cytoplasmic,
BP1719,surE,759,2,0,2,0.00264,1.5931,stationary-phase survival protein,adaptation,Unknown,
BP1988,-,1522,4,0,4,0.00263,1.5577,putative membrane protein (Pseudogene),pseudogenes (phase-variable),ND,+
BP0975,rplS,381,1,1,0,0.00262,1.5226,50S ribosomal protein L19,ribosome constituents,Cytoplasmic,
BP2179,-,762,2,1,1,0.00262,1.5939,putative ABC transporter inner membrane subunit,transport/binding proteins,Cytoplasmic Membrane,
BP2500,-,381,1,0,1,0.00262,1.5210,putative thioredoxin,cofactor biosynthesis,Unknown,
BP2796,rpsF,381,1,1,0,0.00262,1.5194,30s ribosomal protein s6,ribosome constituents,Cytoplasmic,
BP0522,-,1146,3,3,0,0.00262,1.6079,putative metal-activated pyridoxal enzyme,miscellaneous,Cytoplasmic,
BP1952,-,2293,6,4,2,0.00262,1.6529,putative cytochrome (Pseudogene),pseudogenes,ND,
BP0534,-,765,2,1,1,0.00261,1.5973,probable enoyl-CoA hydratase/isomerase,miscellaneous,Cytoplasmic,+
BP2768,-,765,2,0,2,0.00261,1.5947,3-deoxy-manno-octulosonate cytidylyltransferase,cell surface,Cytoplasmic,
BP3805,-,383,1,1,0,0.00261,1.5239,"N-terminal region of a probable ABC transporter, ATP-binding protein (Pseudogene)",pseudogenes,ND,
BP3449,-,384,1,0,1,0.00260,1.5253,putative membrane protein,cell surface,Unknown,
BP3711,nudC,768,2,0,2,0.00260,1.5955,NADH pyrophosphatase,miscellaneous,Cytoplasmic,
BP1343,mxcB,769,2,2,0,0.00260,1.5958,iron utilization protein (Pseudogene),pseudogenes,ND,
BP0260,cyd-2,1155,3,3,0,0.00260,1.6290,cytochrome D ubiquinol oxidase subunit II,energy metabolism,Cytoplasmic Membrane,+
BP3146,-,1926,5,3,2,0.00260,1.6599,putative asparagine synthase,amino acid biosynthesis,Cytoplasmic,-
BP2027,-,771,2,0,2,0.00259,1.5989,putative integral membrane protein,cell surface,Cytoplasmic Membrane,
BP2060,-,771,2,2,0,0.00259,1.5963,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2064,-,1542,4,2,2,0.00259,1.5584,putative malonyl-CoA synthetase (pseudogene),pseudogenes,ND,
BP1475,fdhC,1158,3,1,2,0.00259,1.6336,formate dehydrogenase subunit C precursor,energy metabolism,Cytoplasmic Membrane,
BP1217,-,387,1,0,1,0.00258,1.5312,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP1228,-,774,2,0,2,0.00258,1.5997,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP1506,-,1161,3,2,1,0.00258,1.6233,putative exported protein,cell surface,Unknown,
BP1611,-,387,1,1,0,0.00258,1.5296,putative translational inhibitor,macromolecule synthesis/modification,Cytoplasmic,
BP2023,-,387,1,1,0,0.00258,1.5280,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2312,-,387,1,1,0,0.00258,1.5264,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP3468,-,387,1,0,1,0.00258,1.5248,hypothetical protein,unknown,Unknown,
BP1654,wcbQ,1553,4,2,2,0.00258,1.5637,putative capsular polysaccharide biosynthesis protein,cell surface,Cytoplasmic Membrane,
BP0859,-,777,2,1,1,0.00257,1.6004,short-chain dehydrogenase,miscellaneous,Cytoplasmic,
BP1785,fabG,777,2,0,2,0.00257,1.5979,3-oxoacyl-[acyl-carrier protein] reductase,fatty acid metabolism,Unknown,-
BP1901,-,777,2,1,1,0.00257,1.5953,probable methyltransferase,miscellaneous,Cytoplasmic,
BP2774,-,777,2,1,1,0.00257,1.5927,putative aldolase,miscellaneous,Cytoplasmic,
BP3870,-,1167,3,2,1,0.00257,1.6287,probable aminotransferase,miscellaneous,Cytoplasmic,
BP0225,catD2,780,2,1,1,0.00256,1.5910,3-oxoadipate enol-lactone hydrolase,small molecule degradation,Cytoplasmic,
BP0447,-,1170,3,2,1,0.00256,1.6187,acetyl-CoA acetyltransferase,small molecule degradation,Cytoplasmic,
BP0792,pssA,780,2,1,1,0.00256,1.5884,putative CDP-diacylglycerol--serine O-phosphatidyltransferase protein,macromolecule synthesis/modification,Cytoplasmic Membrane,
BP1033,cheY,390,1,1,0,0.00256,1.5306,chemotaxis protein CheY,cell processes,Cytoplasmic,
BP1625,kpsE,1170,3,2,1,0.00256,1.6152,capsule polysaccharide export inner-membrane protein,transport/binding proteins,Unknown,-
BP1722,-,780,2,0,2,0.00256,1.5859,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2972,-,390,1,0,1,0.00256,1.5290,conserved hypothetical protein,miscellaneous,Unknown,
BP1981,-,781,2,0,2,0.00256,1.5862,putative magnesium transporter (Pseudogene),pseudogenes,ND,
BP2494,-,1173,3,0,3,0.00256,1.6090,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP3588,-,1173,3,3,0,0.00256,1.6055,putative peptidase,miscellaneous,Cytoplasmic,
BP1732,ppiD,1956,5,4,1,0.00256,1.6404,peptidyl-prolyl cis-trans isomerase D,macromolecule synthesis/modification,Cytoplasmic Membrane,
BP0142,-,783,2,1,2,0.00255,1.5792,GntR family transcriptional regulator,regulation,Cytoplasmic,
BP0780,-,783,2,0,2,0.00255,1.5767,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP1649,livG,783,2,0,2,0.00255,1.5742,"high-affinity branched-chain amino acid transport, ATP-binding protein",transport/binding proteins,Cytoplasmic,
BP3198,-,783,2,1,1,0.00255,1.5717,enoyl-CoA hydratase/isomerase,miscellaneous,Cytoplasmic,
BP1302,-,1179,3,1,2,0.00254,1.6109,putative exported protein,cell surface,Unknown,-
BP1495,-,393,1,1,0,0.00254,1.5316,conserved hypothetical protein,conserved hypothetical,Unknown,+
BP1971,pgi,1572,4,1,3,0.00254,1.5456,putative glucose-6-phosphate isomerase,central/intermediary metabolism,Cytoplasmic,
BP2617,-,1572,4,0,4,0.00254,1.5414,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP3092,-,1575,4,1,3,0.00254,1.5444,putative phospholipase D protein,macromolecule synthesis/modification,Cytoplasmic Membrane,
BP2846,-,1182,3,2,1,0.00254,1.6118,putative exported protein (pseudogene),pseudogenes,ND,
BP0369,-,789,2,0,2,0.00253,1.5784,putative endonuclease,macromolecule synthesis/modification,Cytoplasmic,
BP2535,-,1185,3,1,2,0.00253,1.6128,putative exported protein,cell surface,Cytoplasmic Membrane,
BP2725,-,791,2,0,2,0.00253,1.5789,conserved hypothetical protein,conserved hypothetical,Unknown,
BP0029,-,792,2,1,1,0.00253,1.5792,putative enoyl-CoA hydratase,miscellaneous,Cytoplasmic,
BP0506,-,1188,3,1,2,0.00253,1.6172,phage-related hypothetical protein,unknown,Cytoplasmic,
BP0518,-,396,1,0,1,0.00253,1.5373,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP0888,-,792,2,2,0,0.00253,1.5768,GntR-family transcriptional regulator,regulation,Cytoplasmic,
BP1405,-,396,1,0,1,0.00253,1.5357,hypothetical protein,unknown,Unknown,
BP2040,-,396,1,1,0,0.00253,1.5341,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP3195,-,792,2,0,2,0.00253,1.5743,putative ABC transporter ATP-binding protein,transport/binding proteins,Cytoplasmic Membrane,
BP3267,-,396,1,1,0,0.00253,1.5325,conserved hypothetical protein,conserved hypothetical,Unknown,
BP3373,-,396,1,0,1,0.00253,1.5309,phage-related conserved hypothetical protein,conserved hypothetical,Unknown,
BP3643,-,396,1,0,1,0.00253,1.5293,50S ribosomal protein L17,ribosome constituents,Cytoplasmic,
BP3760,-,792,2,2,0,0.00253,1.5719,putative lipoprotein,cell surface,Outer Membrane,+/-
BP1527,purK,1191,3,2,1,0.00252,1.6112,phosphoribosylaminoimidazole carboxylase ATPase subunit,ribonucleotide biosynthesis,Cytoplasmic Membrane,
BP1618,tviD,1986,5,2,3,0.00252,1.6130,putative N-terminal region of capsular polysaccharide biosynthesis protein (partial),cell surface,Cytoplasmic,-
BP0304,-,795,2,2,0,0.00252,1.5727,"putative branched-chain amino acid transporter, ATP-binding protein",transport/binding proteins,Unknown,
BP2614,-,795,2,0,2,0.00252,1.5703,"ABC transport protein, inner membrane component",transport/binding proteins,Cytoplasmic Membrane,
BP3319,-,795,2,1,1,0.00252,1.5679,putative IclR-family transcriptional regulator,regulation,Cytoplasmic,
BP3434,-,795,2,0,2,0.00252,1.5655,putative exported protein,cell surface,Cytoplasmic Membrane,+
BP3667,-,795,2,1,1,0.00252,1.5631,GntR family regulatory proteins,regulation,Cytoplasmic,
BP0422,-,1194,3,1,2,0.00251,1.6122,probable thiolase,miscellaneous,Cytoplasmic,
BP2164,-,1194,3,2,1,0.00251,1.6088,putative 8-amino-7-oxononanoate synthase,cofactor biosynthesis,Cytoplasmic,
BP0003,parA,798,2,2,0,0.00251,1.5592,ParA family protein,cell division,Cytoplasmic,
BP3331,ksgA,798,2,2,0,0.00251,1.5569,dimethyladenosine transferase,ribosome constituents,Cytoplasmic,
BP3483,-,798,2,1,1,0.00251,1.5545,haloacid dehalogenase-like hydrolase,miscellaneous,Cytoplasmic,
BP3597,thiG,798,2,1,1,0.00251,1.5521,thiazole biosynthesis protein,cofactor biosynthesis,Cytoplasmic,
BP3703,-,798,2,1,1,0.00251,1.5498,putative transport system permease protein,transport/binding proteins,Cytoplasmic Membrane,-
BP0754,hyuB,1998,5,2,3,0.00250,1.6078,hydantoin utilization protein B,central/intermediary metabolism,Cytoplasmic,
BP2052,-,1200,3,1,2,0.00250,1.6175,putative transmembrane transport protein,transport/binding proteins,Cytoplasmic Membrane,
BP3464,-,801,2,1,1,0.00250,1.5531,putative exported protein,cell surface,Unknown,-
BP2637,-,1203,3,2,1,0.00249,1.6219,putative lipoprotein,cell surface,Unknown,
BP0320,-,402,1,0,1,0.00249,1.5405,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,+
BP0402,gltC,1206,3,2,1,0.00249,1.6262,putative sodium/glutamate symport carrier protein,transport/binding proteins,Cytoplasmic Membrane,
BP0711,-,1206,3,1,2,0.00249,1.6228,putative phospholipase,miscellaneous,Cytoplasmic Membrane,
BP1248,p15b,402,1,0,1,0.00249,1.5389,ribosome-binding factor A,ribosome constituents,Cytoplasmic,
BP1523,-,402,1,1,0,0.00249,1.5373,putative DNA-binding protein,miscellaneous,Cytoplasmic,
BP1922,-,804,2,1,1,0.00249,1.5540,putative exported protein,cell surface,Unknown,
BP2381,-,402,1,1,0,0.00249,1.5357,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2615,-,804,2,1,1,0.00249,1.5516,"ABC transport protein, ATP-binding component",transport/binding proteins,Cytoplasmic Membrane,
BP2759,-,1206,3,0,3,0.00249,1.6194,putative thiolase,central/intermediary metabolism,Cytoplasmic,
BP3447,-,402,1,0,1,0.00249,1.5341,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP0622,-,1209,3,0,3,0.00248,1.6170,putative leu/ile/val-binding protein precursor,transport/binding proteins,Periplasmic,-
BP2338,-,807,2,0,2,0.00248,1.5549,putative transport protein,transport/binding proteins,Cytoplasmic,
BP0199,-,1212,3,0,3,0.00248,1.6146,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP0288,-,810,2,0,2,0.00247,1.5581,probable transcriptional regulator,regulation,Cytoplasmic,
BP0432,-,405,1,1,1,0.00247,1.5380,conserved hypothetical protein,conserved hypothetical,Unknown,
BP1311,-,405,1,0,1,0.00247,1.5365,putative membrane protein,cell surface,Cytoplasmic Membrane,-
BP2107,-,405,1,1,0,0.00247,1.5349,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2345,-,810,2,0,2,0.00247,1.5558,putative inner membrane permease polyamine transport protein,transport/binding proteins,Cytoplasmic Membrane,
BP2969,-,810,2,0,2,0.00247,1.5535,"putative ABC transport proteins, ATP-binding component",transport/binding proteins,Cytoplasmic Membrane,
BP0679,hemK,813,2,0,2,0.00246,1.5498,heme biosynthesis protein,cofactor biosynthesis,Cytoplasmic,
BP3301,-,1629,4,0,4,0.00246,1.5748,putative binding-protein-dependent transport protein (pseudogene),pseudogenes,ND,-
BP1779,-,1224,3,0,3,0.00245,1.6152,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2411,-,408,1,1,0,0.00245,1.5310,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2462,bcr,1224,3,2,1,0.00245,1.6120,putative drug resistance translocase,transport/binding proteins,Cytoplasmic Membrane,+
BP3175,-,408,1,1,0,0.00245,1.5294,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2296,-,1634,4,1,3,0.00245,1.5785,putative ABC transport ATP-binding subunit,transport/binding proteins,Cytoplasmic Membrane,
BP2455,-,1227,3,1,2,0.00244,1.6130,putative membrane efflux protein,transport/binding proteins,Cytoplasmic Membrane,
BP2364,-,819,2,2,0,0.00244,1.5538,putative GntR-family transcriptional regulator,regulation,Cytoplasmic,
BP0191,-,1229,3,1,2,0.00244,1.6082,putative exported protein,cell surface,Unknown,
BP3334,-,1230,3,2,1,0.00244,1.6075,conserved hypothetical protein,conserved hypothetical,Cytoplasmic Membrane,
BP0088,bplF,1233,3,1,2,0.00243,1.6053,lipopolysaccharide biosynthesis protein,cell surface,Cytoplasmic,
BP1418,map,822,2,0,2,0.00243,1.5569,methionine aminopeptidase,macromolecule degradation,Cytoplasmic,
BP1800,iscU,411,1,0,1,0.00243,1.5348,[Fe-S] cluster formation/repair protein,macromolecule synthesis/modification,Cytoplasmic,-
BP2571,-,411,1,1,0,0.00243,1.5332,putative transcriptional regulatory protein,regulation,Unknown,-
BP1037,cutE,1645,4,1,3,0.00243,1.5923,putative apolipoprotein N-acyltransferase (Pseudogene),pseudogenes,ND,+
BP1028,cheA,2058,5,1,4,0.00243,1.5683,chemotaxis protein CheA,cell processes,Cytoplasmic,
BP2248,bscJ,825,2,1,1,0.00242,1.5578,putative type III secretion protein,virulence-associated genes,Outer Membrane,+
BP0598,-,1242,3,0,3,0.00242,1.6021,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,-
BP0900,-,828,2,0,2,0.00242,1.5564,probable oxidoreductase,miscellaneous,Cytoplasmic,-
BP1296,-,828,2,0,3,0.00242,1.5541,putative lipoprotein,cell surface,Unknown,
BP1928,-,828,2,0,2,0.00242,1.5519,"putative ABC transporter, permease protein",transport/binding proteins,Cytoplasmic Membrane,
BP2340,-,1659,4,1,3,0.00241,1.6130,putative acyl-CoA dehydrogenase,miscellaneous,Cytoplasmic,
BP1204,-,831,2,1,1,0.00241,1.5550,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,+
BP1257,-,1662,4,1,3,0.00241,1.5960,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP0971,cysN,1247,3,1,2,0.00241,1.5986,sulfate adenylyltransferase subunit 1 (Pseudogene),pseudogenes (phase-variable),ND,
BP1135,ssiD,832,2,0,2,0.00240,1.5553,alpha-ketoglutarate-dependent taurine dioxygenase (Pseudogene),pseudogenes,ND,
BP2560,-,417,1,0,1,0.00240,1.5376,putative exported protein,cell surface,Cytoplasmic Membrane,+
BP0444,-,835,2,1,1,0.00240,1.5606,C-terminal region of isovaleryl-CoA dehydrogenase (Pseudogene),pseudogenes,ND,
BP0063,-,837,2,1,1,0.00239,1.5633,conserved hypothetical protein,conserved hypothetical,Unknown,
BP1069,phoT,837,2,2,0,0.00239,1.5611,phosphate transport system permease protein,central/intermediary metabolism,Cytoplasmic Membrane,-
BP1255,-,837,2,1,2,0.00239,1.5589,putative membrane protein,cell surface,Cytoplasmic Membrane,-
BP1850,-,837,2,1,1,0.00239,1.5567,putative exported protein,cell surface,Unknown,
BP2146,-,837,2,0,2,0.00239,1.5544,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2792,-,837,2,0,2,0.00239,1.5522,hypothetical protein,unknown,Cytoplasmic,
BP2970,-,837,2,0,2,0.00239,1.5500,"putative ABC transport proteins, inner membrane component",transport/binding proteins,Cytoplasmic Membrane,
BP0102,-,1257,3,1,2,0.00239,1.5981,putative penicillin-binding protein precursor,cell surface,Cytoplasmic Membrane,
BP2488,icd,1257,3,2,1,0.00239,1.5950,isocitrate dehydrogenase [NADP],energy metabolism,Cytoplasmic,-
BP2327,-,1677,4,1,3,0.00239,1.6070,putative outer membrane protein,cell surface,ND,
BP2549,-,1677,4,2,2,0.00239,1.6031,putative sugar transport protein,transport/binding proteins,Cytoplasmic Membrane,+
BP0061,-,420,1,1,0,0.00238,1.5428,putative DNA-binding protein,regulation,Cytoplasmic,
BP2261,bcrD,2100,5,2,3,0.00238,1.5654,putative type III secretion pore protein,virulence-associated genes,Cytoplasmic Membrane,+
BP3110,-,840,2,2,0,0.00238,1.5465,probable MerR-family transcriptional regulator,regulation,Unknown,
BP3208,-,1262,3,1,2,0.00238,1.6008,conserved hypothetical protein (Pseudogene),pseudogenes,ND,
BP3849,-,1263,3,1,2,0.00238,1.6002,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2604,-,843,2,1,1,0.00237,1.5517,putative LysR-family transcriptional regulatory protein,regulation,Cytoplasmic,
BP0483,-,846,2,1,1,0.00236,1.5482,AraC-family transcriptional regulator,regulation,Cytoplasmic,+
BP3289,atpC,423,1,1,0,0.00236,1.5417,ATP synthase epsilon chain,energy metabolism,Cytoplasmic,
BP3371,-,423,1,1,1,0.00236,1.5402,phage-related conserved hypothetical protein,conserved hypothetical,Unknown,
BP0275,petC,849,2,1,1,0.00236,1.5533,cytochrome C1 precursor,energy metabolism,Cytoplasmic Membrane,-
BP3297,-,1701,4,4,1,0.00235,1.6151,oligopeptide transport ATP-binding protein (pseudogene),transport/binding proteins,ND,
BP2202,ndk,426,1,0,1,0.00235,1.5407,nucleoside diphosphate kinase,central/intermediary metabolism,Extracellular,
BP2281,-,852,2,0,2,0.00235,1.5585,probable integral membrane protein (pseudogene),pseudogenes,ND,
BP1030,cheD,1707,4,1,3,0.00234,1.6134,methyl-accepting chemotaxis protein I,cell processes,Cytoplasmic Membrane,
BP0315,gsa,1284,3,2,1,0.00234,1.6255,"glutamate-1-semialdehyde 2,1-aminomutase",cofactor biosynthesis,Cytoplasmic,
BP0741,-,428,1,0,1,0.00234,1.5370,putative transcriptional regulator,regulation,Unknown,+
BP1504,osmC,428,1,0,1,0.00234,1.5354,osmotically inducible protein C (Pseudogene),pseudogenes (phase-variable),ND,
BP1862,-,1284,3,1,2,0.00234,1.6225,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP3101,-,2141,5,4,1,0.00234,1.5543,putative TonB-dependent receptor (Pseudogene),pseudogenes,ND,
BP1989,-,1713,4,2,2,0.00234,1.6080,putative exported protein,cell surface,Outer Membrane,
BP3077,-,2142,5,0,5,0.00233,1.5520,putative outer membrane protein,cell surface,Outer Membrane,
BP0176,-,858,2,1,1,0.00233,1.5665,two-component response regulator (Pseudogene),pseudogenes,ND,
BP0657,-,429,1,0,1,0.00233,1.5366,putative endoribonuclease,conserved hypothetical,Cytoplasmic,
BP0692,-,1287,3,1,2,0.00233,1.6175,cytochrome C,energy metabolism,Cytoplasmic Membrane,
BP2285,-,858,2,1,1,0.00233,1.5643,conserved hypothetical integral membrane protein,cell surface,Cytoplasmic Membrane,
BP3102,-,429,1,0,1,0.00233,1.5351,putative regulatory protein,regulation,Cytoplasmic,
BP3347,-,429,1,0,1,0.00233,1.5336,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP1031,cheR,859,2,1,1,0.00233,1.5646,chemotaxis protein methyltransferase (Pseudogene),pseudogenes (phase-variable),ND,
BP0543,-,1290,3,2,1,0.00233,1.6215,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP1857,gdh,1290,3,2,1,0.00233,1.6185,glutamate dehydrogenase,small molecule degradation,Unknown,
BP0863,serB,861,2,2,0,0.00232,1.5608,phosphoserine phosphatase,amino acid biosynthesis,Cytoplasmic,
BP1017,-,861,2,0,2,0.00232,1.5586,putative peptidase,macromolecule degradation,Unknown,
BP1879,fhaB,10773,25,7,19,0.00232,0.9967,filamentous hemagglutinin/adhesin,virulence-associated genes,Outer Membrane,+
BP0121,-,1293,3,0,3,0.00232,1.6225,probable extracellular solute-binding protein,transport/binding proteins,Periplasmic,
BP3303,-,864,2,2,1,0.00231,1.5615,conserved hypothetical protein,conserved hypothetical,Cytoplasmic Membrane,+
BP3623,-,864,2,0,2,0.00231,1.5594,putative hydrolase,miscellaneous,Cytoplasmic,
BP2670,-,1299,3,2,1,0.00231,1.6156,putative membrane permease,cell surface,Cytoplasmic Membrane,
BP3134,hmgA,1299,3,3,0,0.00231,1.6127,"homogentisate 1,2-dioxygenase",small molecule degradation,Unknown,
BP1932,-,867,2,1,1,0.00231,1.5644,probable transcriptional regulator (pseudogene),pseudogenes,ND,
BP3808,-,867,2,0,2,0.00231,1.5623,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2191,hflK,1305,3,1,3,0.00230,1.6118,putative membrane protein,cell surface,Unknown,
BP2564,-,435,1,1,1,0.00230,1.5404,putative lipoprotein,cell surface,Unknown,
BP2612,-,435,1,0,1,0.00230,1.5389,conserved hypothetical protein,miscellaneous,Unknown,
BP2882,-,870,2,2,0,0.00230,1.5651,putative lysR-family transcriptional regulator,regulation,Cytoplasmic,
BP3720,-,870,2,1,1,0.00230,1.5630,branched-chain amino acid transport system permease,transport/binding proteins,Cytoplasmic Membrane,
BP0905,mrcA,2613,6,5,1,0.00230,1.6145,penicillin-binding protein 1A,cell surface,Extracellular,
BP0718,-,873,2,2,0,0.00229,1.5616,carboxyvinyl-carboxyphosphonate phosphorylmutase,central/intermediary metabolism,Cytoplasmic,
BP1815,-,873,2,0,2,0.00229,1.5595,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2089,-,873,2,1,1,0.00229,1.5574,putative ABC-transporter permease component,transport/binding proteins,Cytoplasmic Membrane,
BP3193,-,873,2,2,0,0.00229,1.5553,putative ABC transpoter permease protein,transport/binding proteins,Cytoplasmic Membrane,
BP1561,-,1311,3,2,1,0.00229,1.6139,putative exported protein,cell surface,Outer Membrane,
BP2358,gltA,1311,3,1,2,0.00229,1.6110,citrate synthase,energy metabolism,Cytoplasmic,
BP0404,atoE,1314,3,2,1,0.00228,1.6063,putative short-chain fatty acids transporter,transport/binding proteins,Cytoplasmic Membrane,
BP1448,-,438,1,1,0,0.00228,1.5378,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2097,-,876,2,0,2,0.00228,1.5602,putative esterase,miscellaneous,Cytoplasmic,
BP2522,folD,876,2,0,2,0.00228,1.5581,FolD bifunctional protein [includes: methylenetetrahydrofolate dehydrogenase and methylenetetrahydrofolate cyclohydrolase],cofactor biosynthesis,Cytoplasmic,
BP2923,-,438,1,0,1,0.00228,1.5363,putative lipoprotein,cell surface,Unknown,-
BP3663,bfrC,2190,5,2,3,0.00228,1.5663,ferric siderophore receptor,virulence-associated genes,Outer Membrane,
BP1156,-,878,2,0,2,0.00228,1.5607,conserved hypotheticals protein,conserved hypothetical,Cytoplasmic,
BP3591,accD,879,2,1,1,0.00228,1.5609,acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,fatty acid metabolism,Cytoplasmic,
BP3600,-,1320,3,0,3,0.00227,1.6112,putative outer membrane protein (pseudogene),pseudogenes,ND,
BP0427,-,441,1,1,0,0.00227,1.5367,putative exported protein,cell surface,Cytoplasmic,
BP2016,brfB,2205,5,4,1,0.00227,1.5719,putative ferric siderophore receptor,virulence-associated genes,Outer Membrane,
BP2540,sucD,882,2,2,0,0.00227,1.5616,"succinyl-CoA synthetase, alpha chain",energy metabolism,Cytoplasmic,
BP3137,-,1323,3,0,3,0.00227,1.5983,putative two-component system sensor protein,regulation,Cytoplasmic Membrane,+
BP3404,-,882,2,2,0,0.00227,1.5596,putative inner membrane protein,cell surface,Cytoplasmic Membrane,
BP3728,rkpK,1323,3,1,2,0.00227,1.5955,putative UDP-glucose 6-dehydrogenase,cell surface,Unknown,
BP1721,-,885,2,2,0,0.00226,1.5623,putative peptidase,macromolecule degradation,Outer Membrane,
BP2695,-,443,1,0,1,0.00226,1.5388,conserved hypothetical protein (pseudogene),pseudogenes,ND,
BP3321,-,1329,3,1,2,0.00226,1.5922,putative amidase,miscellaneous,Cytoplasmic,+
BP0744,-,444,1,0,1,0.00225,1.5399,putative transcriptional regulator,regulation,Periplasmic,+
BP1314,-,888,2,1,1,0.00225,1.5630,putative exported protein,cell surface,Unknown,-
BP2555,-,444,1,0,1,0.00225,1.5384,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2558,-,888,2,1,1,0.00225,1.5610,LysR-family transcriptional regulator,regulation,Cytoplasmic,
BP3161,-,888,2,1,1,0.00225,1.5589,putative peptide ABC transporter permease protein,transport/binding proteins,Cytoplasmic Membrane,
BP3524,-,444,1,0,1,0.00225,1.5370,putative acetyltransferase,miscellaneous,Cytoplasmic,
BP3778,tatB,444,1,0,1,0.00225,1.5355,Sec-independent protein translocase protein,transport/binding proteins,Cytoplasmic Membrane,
BP3813,-,3108,7,4,3,0.00225,1.6159,AcrB/AcrD/AcrF family protein,cell surface,Cytoplasmic Membrane,
BP0827,-,3114,7,3,4,0.00225,1.6038,integral membrane component of multidrug efflux system,protection responses,Cytoplasmic Membrane,
BP1806,-,890,2,1,1,0.00225,1.5512,hypothetical protein,unknown,Cytoplasmic,
