"","seqnames","start","end","width","strand","type","gene","locus_tag","old_locus_tag","loctype","pseudo","gene_synonym","gene_id","product"
"397","Tohama I",3692564,3693223,660,"-","gene",NA,"BP_RS01990",BP0394,"normal",FALSE,NA,"BP_RS01990","LysE family translocator"
"398","Tohama I",3691551,3692474,924,"-","gene",NA,"BP_RS01995",BP0395,"normal",FALSE,NA,"BP_RS01995","alpha/beta fold hydrolase"
"399","Tohama I",3691090,3691545,456,"+","gene",NA,"BP_RS02000",BP0396,"normal",FALSE,NA,"BP_RS02000","multidrug/biocide efflux PACE transporter"
"400","Tohama I",3689990,3691093,1104,"+","gene",NA,"BP_RS02005",BP0397,"normal",FALSE,NA,"BP_RS02005","ChbG/HpnK family deacetylase"
"401","Tohama I",3689762,3690034,273,"-","gene",NA,"BP_RS02010",NA,"normal",FALSE,NA,"BP_RS02010","GtrA family protein"
"402","Tohama I",3688183,3689802,1620,"+","gene",NA,"BP_RS02015",BP0398,"normal",FALSE,NA,"BP_RS02015","glycosyltransferase family 39 protein"
"403","Tohama I",3687128,3688186,1059,"+","gene",NA,"BP_RS02020",BP0399,"normal",FALSE,NA,"BP_RS02020","glycosyltransferase family 2 protein"
"404","Tohama I",3686504,3686998,495,"-","gene",NA,"BP_RS02025",BP0400,"normal",FALSE,NA,"BP_RS02025","GNAT family N-acetyltransferase"
"405","Tohama I",3685434,3686411,978,"-","gene",NA,"BP_RS02030",BP0401,"normal",FALSE,NA,"BP_RS02030","IS481-like element IS481 family transposase"
"406","Tohama I",3684033,3685238,1206,"-","gene","gltS","BP_RS02035",BP0402,"normal",FALSE,NA,"BP_RS02035","sodium/glutamate symporter"
"407","Tohama I",3682525,3684036,1512,"-","gene",NA,"BP_RS02040",BP0403,"normal",FALSE,NA,"BP_RS02040","TAXI family TRAP transporter solute-bindingsubunit"
"408","Tohama I",3681196,3682509,1314,"+","gene",NA,"BP_RS02045",BP0404,"normal",FALSE,NA,"BP_RS02045","short-chain fatty acid transporter"
"409","Tohama I",3680826,3681005,180,"+","gene",NA,"BP_RS02050",BP0405,"normal",FALSE,NA,"BP_RS02050","hypothetical protein"
"410","Tohama I",3680476,3680550,75,"+","gene",NA,"BP_RS02055",BPt07,"normal",FALSE,NA,"BP_RS02055",NA
"411","Tohama I",3679682,3680416,735,"+","gene","dnaQ","BP_RS02060",BP0406,"normal",FALSE,NA,"BP_RS02060","DNA polymerase III subunit epsilon"
"412","Tohama I",3677337,3679673,2337,"+","gene",NA,"BP_RS02065",BP0407,"normal",TRUE,NA,"BP_RS02065","efflux RND transporter permease subunit"
"413","Tohama I",3676287,3677237,951,"-","gene",NA,"BP_RS02070",BP0408,"normal",FALSE,NA,"BP_RS02070","IS481-like element IS481 family transposase"
"414","Tohama I",3675757,3676155,399,"+","gene",NA,"BP_RS02075",BP0409,"normal",FALSE,NA,"BP_RS02075","GTP-binding protein"
"415","Tohama I",3674876,3675346,471,"+","gene",NA,"BP_RS02080",BP0410,"normal",FALSE,NA,"BP_RS02080","universal stress protein"
"416","Tohama I",3674443,3674787,345,"+","gene",NA,"BP_RS02085",BP0411,"normal",FALSE,NA,"BP_RS02085","TIGR01244 family phosphatase"
"417","Tohama I",3672943,3674343,1401,"+","gene",NA,"BP_RS02090",BP0412,"normal",FALSE,NA,"BP_RS02090","PLP-dependent aminotransferase family protein"
"418","Tohama I",3671151,3672911,1761,"-","gene","fusA","BP_RS02095",BP0413,"normal",TRUE,NA,"BP_RS02095","elongation factor G"
"419","Tohama I",3670636,3671154,519,"+","gene",NA,"BP_RS02100",BP0414,"normal",FALSE,NA,"BP_RS02100","MgtC/SapB family protein"
"420","Tohama I",3669770,3670525,756,"-","gene",NA,"BP_RS02105",BP0415,"normal",FALSE,NA,"BP_RS02105","TerC family protein"
"421","Tohama I",3668342,3669574,1233,"-","gene",NA,"BP_RS02110",BP0416,"normal",FALSE,NA,"BP_RS02110","CoA transferase"
"422","Tohama I",3667564,3668349,786,"-","gene",NA,"BP_RS02115",BP0417,"normal",FALSE,NA,"BP_RS02115","crotonase/enoyl-CoA hydratase family protein"
"423","Tohama I",3666526,3667497,972,"-","gene",NA,"BP_RS02120",BP0418,"normal",FALSE,NA,"BP_RS02120","tripartite tricarboxylate transporter substratebinding protein"
"424","Tohama I",3665538,3666515,978,"+","gene",NA,"BP_RS02125",BP0419,"normal",FALSE,NA,"BP_RS02125","LysR family transcriptional regulator"
"425","Tohama I",3664240,3665412,1173,"-","gene",NA,"BP_RS02130",BP0420,"normal",FALSE,NA,"BP_RS02130","acyl-CoA dehydrogenase family protein"
"426","Tohama I",3663185,3664213,1029,"-","gene",NA,"BP_RS02135",BP0421,"normal",FALSE,NA,"BP_RS02135","acyl-CoA dehydrogenase"
"427","Tohama I",3661926,3663119,1194,"-","gene",NA,"BP_RS02140",BP0422,"normal",FALSE,NA,"BP_RS02140","acetyl-CoA C-acyltransferase"
"428","Tohama I",3660245,3661877,1633,"+","gene",NA,"BP_RS02145",BP0423,"normal",TRUE,NA,"BP_RS02145","AMP-binding protein"
"429","Tohama I",3659194,3660144,951,"+","gene",NA,"BP_RS02150",BP0424,"normal",FALSE,NA,"BP_RS02150","IS481-like element IS481 family transposase"
"430","Tohama I",3658190,3659095,906,"+","gene",NA,"BP_RS02155",BP0425,"normal",FALSE,NA,"BP_RS02155","LysR family transcriptional regulator"
"431","Tohama I",3657811,3658014,204,"+","gene",NA,"BP_RS02160",BP0426,"normal",FALSE,NA,"BP_RS02160","cold-shock protein"
"432","Tohama I",3656860,3657300,441,"-","gene",NA,"BP_RS02165",BP0427,"normal",FALSE,NA,"BP_RS02165","hypothetical protein"
"433","Tohama I",3656171,3656830,660,"+","gene",NA,"BP_RS02170",BP0428,"normal",FALSE,NA,"BP_RS02170","GntR family transcriptional regulator"
"434","Tohama I",3654469,3656085,1617,"+","gene","pruA","BP_RS02175",BP0429,"normal",FALSE,NA,"BP_RS02175","L-glutamate gamma-semialdehyde dehydrogenase"
"435","Tohama I",3652985,3654448,1464,"+","gene",NA,"BP_RS02180",BP0430,"normal",FALSE,NA,"BP_RS02180","short-chain fatty acid transporter"
"436","Tohama I",3649568,3652954,3387,"+","gene",NA,"BP_RS02185",BP0431,"normal",FALSE,NA,"BP_RS02185","molybdopterin-dependent oxidoreductase"
"437","Tohama I",3649022,3649426,405,"+","gene",NA,"BP_RS02190",BP0432,"normal",FALSE,NA,"BP_RS02190","RidA family protein"
"438","Tohama I",3647892,3648878,987,"-","gene",NA,"BP_RS02195",BP0433,"normal",FALSE,NA,"BP_RS02195","LysR family transcriptional regulator"
"439","Tohama I",3647624,3647905,282,"+","gene",NA,"BP_RS02200",NA,"normal",FALSE,NA,"BP_RS02200","hypothetical protein"
"440","Tohama I",3646942,3647592,651,"+","gene",NA,"BP_RS02205",BP0434,"normal",TRUE,NA,"BP_RS02205","tripartite tricarboxylate transporter substratebinding protein"
"441","Tohama I",3645646,3646878,1233,"+","gene",NA,"BP_RS02210",BP0435,"normal",FALSE,NA,"BP_RS02210","CoA transferase"
"442","Tohama I",3645152,3645646,495,"+","gene",NA,"BP_RS02215",BP0436,"normal",FALSE,NA,"BP_RS02215","MaoC family dehydratase"
"443","Tohama I",3644058,3645020,963,"-","gene",NA,"BP_RS02220",BP0437,"normal",FALSE,NA,"BP_RS02220","LysR family transcriptional regulator"
"444","Tohama I",3642827,3644080,1254,"+","gene",NA,"BP_RS02225",BP0438,"normal",FALSE,NA,"BP_RS02225","CoA transferase"
"445","Tohama I",3641755,3642705,951,"-","gene",NA,"BP_RS02230",BP0439,"normal",FALSE,NA,"BP_RS02230","IS481-like element IS481 family transposase"
"446","Tohama I",3641414,3641755,342,"+","gene",NA,"BP_RS02235",BP0440,"normal",TRUE,NA,"BP_RS02235","acyl-CoA dehydrogenase family protein"
"447","Tohama I",3640826,3641200,375,"+","gene",NA,"BP_RS02240",BP0441,"normal",FALSE,NA,"BP_RS02240","MerR family DNA-binding transcriptionalregulator"
"448","Tohama I",3639693,3640751,1059,"-","gene",NA,"BP_RS02245",BP0442,"normal",FALSE,NA,"BP_RS02245","MBL fold metallo-hydrolase"
"449","Tohama I",3638719,3639669,951,"+","gene",NA,"BP_RS02250",BP0443,"normal",FALSE,NA,"BP_RS02250","IS481-like element IS481 family transposase"
"450","Tohama I",3637783,3638619,837,"-","gene",NA,"BP_RS02255",BP0444,"normal",TRUE,NA,"BP_RS02255","acyl-CoA dehydrogenase family protein"
"451","Tohama I",3635885,3637744,1860,"-","gene","aceK","BP_RS02260",BP0445,"normal",TRUE,NA,"BP_RS02260","bifunctional isocitrate dehydrogenasekinase/phosphatase"
"452","Tohama I",3634668,3635837,1170,"-","gene",NA,"BP_RS02265",BP0447,"normal",FALSE,NA,"BP_RS02265","acetyl-CoA C-acyltransferase"
"453","Tohama I",3632960,3634567,1608,"-","gene",NA,"BP_RS02270",BP0448,"normal",FALSE,NA,"BP_RS02270","methylcrotonoyl-CoA carboxylase"
"454","Tohama I",3630892,3632913,2022,"-","gene",NA,"BP_RS02275",BP0449,"normal",FALSE,NA,"BP_RS02275","acetyl/propionyl/methylcrotonyl-CoA carboxylasesubunit alpha"
"455","Tohama I",3630618,3630863,246,"+","gene",NA,"BP_RS02280",BP0450,"normal",FALSE,NA,"BP_RS02280","DUF1653 domain-containing protein"
"456","Tohama I",3629414,3630604,1191,"+","gene",NA,"BP_RS02285",BP0451,"normal",FALSE,NA,"BP_RS02285","acetylornithine transaminase"
"457","Tohama I",3628253,3629218,966,"-","gene",NA,"BP_RS02290",BP0452,"normal",FALSE,NA,"BP_RS02290","tripartite tricarboxylate transporter substratebinding protein"
"458","Tohama I",3627091,3628230,1140,"+","gene",NA,"BP_RS02295",BP0453,"normal",FALSE,NA,"BP_RS02295","DSD1 family PLP-dependent enzyme"
"459","Tohama I",3625917,3626879,963,"-","gene",NA,"BP_RS02300",BP0454,"normal",FALSE,NA,"BP_RS02300","TAXI family TRAP transporter solute-bindingsubunit"
"460","Tohama I",3623769,3625793,2025,"-","gene",NA,"BP_RS02305",BP0455,"normal",FALSE,NA,"BP_RS02305","TRAP transporter permease"
"461","Tohama I",3621329,3623572,2244,"-","gene",NA,"BP_RS02310",BP0456,"normal",FALSE,NA,"BP_RS02310","TonB-dependenthemoglobin/transferrin/lactoferrin family receptor"
"462","Tohama I",3620592,3621050,459,"-","gene",NA,"BP_RS02315",BP0457,"normal",FALSE,NA,"BP_RS02315","DUF494 domain-containing protein"
"463","Tohama I",3619651,3620575,925,"-","gene","gluQRS","BP_RS02320",BP0458,"normal",TRUE,NA,"BP_RS02320","tRNA glutamyl-Q(34) synthetase GluQRS"
"464","Tohama I",3617043,3619664,2622,"+","gene",NA,"BP_RS02325",BP0459,"normal",FALSE,NA,"BP_RS02325","GDYXXLXY domain-containing protein"
"465","Tohama I",3614352,3616979,2628,"-","gene",NA,"BP_RS02330",BP0460,"normal",FALSE,NA,"BP_RS02330","DNA topoisomerase III"
"466","Tohama I",3613136,3614200,1065,"-","gene",NA,"BP_RS02335",BP0461,"normal",FALSE,NA,"BP_RS02335","ABC transporter substrate-binding protein"
"467","Tohama I",3612366,3613136,771,"-","gene",NA,"BP_RS02340",BP0462,"normal",FALSE,NA,"BP_RS02340","ABC transporter ATP-binding protein"
"468","Tohama I",3611524,3612357,834,"-","gene",NA,"BP_RS02345",BP0463,"normal",FALSE,NA,"BP_RS02345","ABC transporter permease"
"469","Tohama I",3610732,3611511,780,"-","gene",NA,"BP_RS02350",BP0464,"normal",FALSE,NA,"BP_RS02350","SDR family oxidoreductase"
"470","Tohama I",3609225,3610658,1434,"-","gene",NA,"BP_RS02355",BP0465,"normal",FALSE,NA,"BP_RS02355","aldehyde dehydrogenase family protein"
"471","Tohama I",3608439,3609197,759,"-","gene",NA,"BP_RS02360",BP0466,"normal",FALSE,NA,"BP_RS02360","SDR family oxidoreductase"
"472","Tohama I",3606533,3608383,1851,"+","gene","ilvB","BP_RS02365",BP0467,"normal",FALSE,NA,"BP_RS02365","biosynthetic-type acetolactate synthase largesubunit"
"473","Tohama I",3605963,3606439,477,"-","gene",NA,"BP_RS02370",BP0468,"normal",FALSE,NA,"BP_RS02370","Lrp/AsnC family transcriptional regulator"
"474","Tohama I",3605026,3605946,921,"+","gene",NA,"BP_RS02375",BP0469,"normal",FALSE,NA,"BP_RS02375","bestrophin"
"475","Tohama I",3604419,3604919,501,"-","gene",NA,"BP_RS02380",BP0470,"normal",FALSE,NA,"BP_RS02380","SET domain-containing protein-lysineN-methyltransferase"
"476","Tohama I",3603353,3604045,693,"-","gene",NA,"BP_RS02385",BP0471,"normal",FALSE,NA,"BP_RS02385","3,4-dihydroxy-2-butanone-4-phosphate synthase"
"477","Tohama I",3603142,3603339,198,"+","gene",NA,"BP_RS02390",BP0472,"normal",TRUE,NA,"BP_RS02390","nucleoside 2-deoxyribosyltransferase"
"478","Tohama I",3602094,3603044,951,"-","gene",NA,"BP_RS02395",BP0473,"normal",FALSE,NA,"BP_RS02395","IS481-like element IS481 family transposase"
"479","Tohama I",3600910,3601977,1068,"-","gene",NA,"BP_RS02400",BP0474,"normal",FALSE,NA,"BP_RS02400","linear amide C-N hydrolase"
"480","Tohama I",3597706,3600834,3129,"+","gene",NA,"BP_RS02405",BP0475,"normal",FALSE,NA,"BP_RS02405","Rne/Rng family ribonuclease"
"481","Tohama I",3596233,3597198,966,"-","gene",NA,"BP_RS02410",BP0477,"normal",FALSE,NA,"BP_RS02410","RluA family pseudouridine synthase"
"482","Tohama I",3595559,3596230,672,"-","gene",NA,"BP_RS02415",BP0478,"normal",FALSE,NA,"BP_RS02415","HAD family hydrolase"
"483","Tohama I",3594443,3595402,960,"-","gene","msrP","BP_RS02420",BP0479,"normal",FALSE,NA,"BP_RS02420","protein-methionine-sulfoxide reductase catalyticsubunit MsrP"
"484","Tohama I",3593773,3594435,663,"-","gene","msrQ","BP_RS02425",BP0480,"normal",FALSE,NA,"BP_RS02425","protein-methionine-sulfoxide reductaseheme-binding subunit MsrQ"
"485","Tohama I",3592826,3593776,951,"+","gene",NA,"BP_RS02430",BP0481,"normal",FALSE,NA,"BP_RS02430","IS481-like element IS481 family transposase"
"486","Tohama I",3591303,3592730,1428,"+","gene",NA,"BP_RS02435",BP0482,"normal",TRUE,NA,"BP_RS02435","peptidase M14"
"487","Tohama I",3590424,3591269,846,"+","gene",NA,"BP_RS02440",BP0483,"normal",FALSE,NA,"BP_RS02440","AraC family transcriptional regulator"
"488","Tohama I",3589173,3590336,1164,"+","gene",NA,"BP_RS02445",BP0484,"normal",FALSE,NA,"BP_RS02445","alpha-hydroxy-acid oxidizing protein"
"489","Tohama I",3588773,3589018,246,"-","gene",NA,"BP_RS02450",BP0485,"normal",TRUE,NA,"BP_RS02450","acylphosphatase"
"490","Tohama I",3587783,3588754,972,"+","gene",NA,"BP_RS02455",BP0486,"normal",FALSE,NA,"BP_RS02455","tripartite tricarboxylate transporter substratebinding protein"
"491","Tohama I",3586317,3587744,1428,"+","gene",NA,"BP_RS02460",BP0487,"normal",FALSE,NA,"BP_RS02460","amidase"
"492","Tohama I",3585406,3586197,792,"-","gene",NA,"BP_RS02465",BP0488,"normal",FALSE,NA,"BP_RS02465","helix-turn-helix domain-containing protein"
"493","Tohama I",3582834,3585287,2454,"+","gene","gyrB","BP_RS02470",BP0489,"normal",FALSE,NA,"BP_RS02470","DNA topoisomerase (ATP-hydrolyzing) subunit B"
"494","Tohama I",3581630,3582739,1110,"+","gene",NA,"BP_RS02475",BP0490,"normal",FALSE,NA,"BP_RS02475","DNA polymerase III subunit beta"
"495","Tohama I",3580218,3581627,1410,"+","gene","dnaA","BP_RS02480",BP0491,"normal",FALSE,NA,"BP_RS02480","chromosomal replication initiator protein DnaA"
"496","Tohama I",3579678,3579812,135,"-","gene","rpmH","BP_RS02485",BP0492,"normal",FALSE,NA,"BP_RS02485","50S ribosomal protein L34"
"497","Tohama I",3579211,3579582,372,"-","gene",NA,"BP_RS02490",BP0493,"normal",FALSE,NA,"BP_RS02490","ribonuclease P protein component"
"498","Tohama I",3578942,3579214,273,"-","gene","yidD","BP_RS02495",BP0494,"normal",FALSE,NA,"BP_RS02495","membrane protein insertion efficiency factorYidD"
"499","Tohama I",3577202,3578893,1692,"-","gene","yidC","BP_RS02500",BP0495,"normal",FALSE,NA,"BP_RS02500","membrane protein insertase YidC"
"500","Tohama I",3576021,3576971,951,"+","gene",NA,"BP_RS02505",BP0496,"normal",FALSE,NA,"BP_RS02505","IS481-like element IS481 family transposase"
"501","Tohama I",3575685,3575921,237,"+","gene",NA,"BP_RS02510",BP0497,"normal",TRUE,NA,"BP_RS02510","NAD(P)H-dependent oxidoreductase"
"502","Tohama I",3574640,3575563,924,"-","gene",NA,"BP_RS02515",BP0498,"normal",FALSE,NA,"BP_RS02515","LysR family transcriptional regulator"
"503","Tohama I",3574233,3574631,399,"+","gene",NA,"BP_RS02520",BP0499,"normal",FALSE,NA,"BP_RS02520","hypothetical protein"
"504","Tohama I",3572021,3573991,1971,"-","gene","bopC","BP_RS02525",BP0500,"normal",FALSE,bteA,"BP_RS02525","type III secretion system effector BopC"
"505","Tohama I",3570706,3571995,1290,"+","gene",NA,"BP_RS02530",BP0501,"normal",TRUE,NA,"BP_RS02530","sensor histidine kinase N-terminaldomain-containing protein"
"506","Tohama I",3569545,3570534,990,"-","gene",NA,"BP_RS02535",BP0502,"normal",FALSE,NA,"BP_RS02535","site-specific integrase"
"507","Tohama I",3569348,3569548,201,"+","gene",NA,"BP_RS02540",BP0503,"normal",FALSE,NA,"BP_RS02540","helix-turn-helix domain-containing protein"
"508","Tohama I",3568894,3569235,342,"+","gene",NA,"BP_RS02545",BP0505,"normal",FALSE,NA,"BP_RS02545","hypothetical protein"
"509","Tohama I",3567699,3568883,1185,"+","gene",NA,"BP_RS02550",BP0506,"normal",FALSE,NA,"BP_RS02550","hypothetical protein"
"510","Tohama I",3567135,3567662,528,"+","gene",NA,"BP_RS02555",BP0507,"normal",FALSE,NA,"BP_RS02555","hypothetical protein"
"511","Tohama I",3566430,3567077,648,"+","gene",NA,"BP_RS02560",BP0508,"normal",FALSE,NA,"BP_RS02560","YqaJ viral recombinase family protein"
"512","Tohama I",3565447,3566433,987,"+","gene",NA,"BP_RS02565",BP0509,"normal",FALSE,NA,"BP_RS02565","recombinase RecT"
"513","Tohama I",3565261,3565443,183,"+","gene",NA,"BP_RS02570",BP0510,"normal",FALSE,NA,"BP_RS02570","hypothetical protein"
"514","Tohama I",3564887,3565264,378,"+","gene",NA,"BP_RS02575",BP0511,"normal",FALSE,NA,"BP_RS02575","hypothetical protein"
"515","Tohama I",3564673,3564884,212,"+","gene",NA,"BP_RS02580",BP0512,"normal",TRUE,NA,"BP_RS02580","hypothetical protein"
"516","Tohama I",3564186,3564653,468,"+","gene",NA,"BP_RS02585",BP0513,"normal",FALSE,NA,"BP_RS02585","hypothetical protein"
"517","Tohama I",3563200,3564150,951,"+","gene",NA,"BP_RS02590",BP0514,"normal",FALSE,NA,"BP_RS02590","IS481-like element IS481 family transposase"
"518","Tohama I",3562859,3563101,243,"+","gene",NA,"BP_RS02600",BP0515,"normal",FALSE,NA,"BP_RS02600","hypothetical protein"
"519","Tohama I",3562051,3562692,642,"+","gene",NA,"BP_RS02605",BP0516,"normal",FALSE,NA,"BP_RS02605","hypothetical protein"
"520","Tohama I",3561090,3562040,951,"+","gene",NA,"BP_RS02610",BP0517,"normal",FALSE,NA,"BP_RS02610","IS481-like element IS481 family transposase"
"521","Tohama I",3560585,3560980,396,"+","gene",NA,"BP_RS02615",BP0518,"normal",FALSE,NA,"BP_RS02615","RidA family protein"
"522","Tohama I",3559714,3560415,702,"-","gene",NA,"BP_RS02620",BP0519,"normal",FALSE,NA,"BP_RS02620","glutathione S-transferase"
"523","Tohama I",3558590,3559450,861,"-","gene",NA,"BP_RS02625",BP0520,"normal",FALSE,NA,"BP_RS02625","hypothetical protein"
"524","Tohama I",3558180,3558515,336,"+","gene",NA,"BP_RS02630",BP0521,"normal",FALSE,NA,"BP_RS02630","YegP family protein"
"525","Tohama I",3556894,3558039,1146,"+","gene",NA,"BP_RS02635",BP0522,"normal",FALSE,NA,"BP_RS02635","DSD1 family PLP-dependent enzyme"
"526","Tohama I",3556207,3556866,660,"+","gene",NA,"BP_RS02640",BP0523,"normal",FALSE,NA,"BP_RS02640","HAD-IA family hydrolase"
"527","Tohama I",3555199,3556114,916,"-","gene",NA,"BP_RS02645",BP0524,"normal",TRUE,NA,"BP_RS02645","LysR family transcriptional regulator"
"528","Tohama I",3554996,3555202,207,"-","gene",NA,"BP_RS02650",BP0525,"normal",FALSE,NA,"BP_RS02650","DUF3596 domain-containing protein"
"529","Tohama I",3554599,3554730,132,"-","gene",NA,"BP_RS02655",BP0527,"normal",FALSE,NA,"BP_RS02655","entericidin A/B family lipoprotein"
"530","Tohama I",3547250,3554152,6903,"-","gene","batB","BP_RS02660",BP0529,"normal",FALSE,NA,"BP_RS02660","autotransporter BatB"
"531","Tohama I",3546617,3547198,582,"-","gene",NA,"BP_RS02665",BP0530,"normal",FALSE,NA,"BP_RS02665","ureidoglycolate lyase"
"532","Tohama I",3545367,3546344,978,"-","gene",NA,"BP_RS02670",BP0531,"normal",FALSE,NA,"BP_RS02670","tripartite tricarboxylate transporter substratebinding protein"
"533","Tohama I",3543779,3545332,1554,"-","gene",NA,"BP_RS02675",BP0532,"normal",FALSE,NA,"BP_RS02675","acyl--CoA ligase"
"534","Tohama I",3543031,3543771,741,"-","gene",NA,"BP_RS02680",BP0533,"normal",FALSE,NA,"BP_RS02680","IclR family transcriptional regulator"
"535","Tohama I",3542243,3543007,765,"-","gene",NA,"BP_RS02685",BP0534,"normal",FALSE,NA,"BP_RS02685","enoyl-CoA hydratase/isomerase family protein"
"536","Tohama I",3541863,3542198,336,"-","gene",NA,"BP_RS02690",BP0535,"normal",FALSE,NA,"BP_RS02690","carboxymuconolactone decarboxylase familyprotein"
"537","Tohama I",3540880,3541809,930,"-","gene",NA,"BP_RS02695",BP0536,"normal",FALSE,NA,"BP_RS02695","tripartite tricarboxylate transporter substratebinding protein"
"538","Tohama I",3539970,3540920,951,"+","gene",NA,"BP_RS02700",BP0537,"normal",FALSE,NA,"BP_RS02700","IS481-like element IS481 family transposase"
"539","Tohama I",3538907,3539851,945,"+","gene","rocF","BP_RS02705",BP0538,"normal",FALSE,NA,"BP_RS02705","arginase"
"540","Tohama I",3537669,3538910,1242,"+","gene",NA,"BP_RS02710",BP0539,"normal",FALSE,NA,"BP_RS02710","ornithine--oxo-acid transaminase"
"541","Tohama I",3536557,3537507,951,"-","gene",NA,"BP_RS02715",BP0540,"normal",FALSE,NA,"BP_RS02715","IS481-like element IS481 family transposase"
"542","Tohama I",3535886,3536560,675,"+","gene",NA,"BP_RS02720",BP0541,"normal",FALSE,NA,"BP_RS02720","GntR family transcriptional regulator"
"543","Tohama I",3534806,3535801,996,"+","gene",NA,"BP_RS02725",BP0542,"normal",FALSE,NA,"BP_RS02725","tripartite tricarboxylate transporter substratebinding protein"
"544","Tohama I",3533362,3534651,1290,"+","gene",NA,"BP_RS02730",BP0543,"normal",FALSE,NA,"BP_RS02730","FAD-binding oxidoreductase"
"545","Tohama I",3532919,3533110,192,"-","gene",NA,"BP_RS02735",BP0544,"normal",FALSE,NA,"BP_RS02735","4-oxalocrotonate tautomerase"
"546","Tohama I",3531493,3532812,1320,"-","gene","rimO","BP_RS02740",BP0545,"normal",FALSE,NA,"BP_RS02740","30S ribosomal protein S12 methylthiotransferaseRimO"
"547","Tohama I",3530853,3531422,570,"+","gene",NA,"BP_RS02745",BP0546,"normal",FALSE,NA,"BP_RS02745","bacterioferritin"
"548","Tohama I",3530085,3530672,588,"-","gene",NA,"BP_RS02750",BP0547,"normal",FALSE,NA,"BP_RS02750","TIGR00730 family Rossman fold protein"
"549","Tohama I",3529476,3530078,603,"-","gene",NA,"BP_RS02755",BP0548,"normal",FALSE,NA,"BP_RS02755","hypothetical protein"
"550","Tohama I",3528823,3529479,657,"-","gene",NA,"BP_RS02760",BP0549,"normal",FALSE,NA,"BP_RS02760","HAD hydrolase-like protein"
"551","Tohama I",3528200,3528826,627,"-","gene",NA,"BP_RS02765",BP0550,"normal",FALSE,NA,"BP_RS02765","pyridoxamine 5'-phosphate oxidase familyprotein"
"552","Tohama I",3527239,3528177,939,"+","gene",NA,"BP_RS02770",BP0551,"normal",FALSE,NA,"BP_RS02770","methionyl-tRNA formyltransferase"
"553","Tohama I",3526661,3527173,513,"+","gene",NA,"BP_RS02775",BP0552,"normal",FALSE,NA,"BP_RS02775","peptide deformylase"
"554","Tohama I",3525309,3526559,1251,"+","gene","kynU","BP_RS02780",BP0553,"normal",FALSE,NA,"BP_RS02780","kynureninase"
"555","Tohama I",3524687,3525172,486,"-","gene",NA,"BP_RS02785",BP0554,"normal",FALSE,NA,"BP_RS02785","Lrp/AsnC family transcriptional regulator"
"556","Tohama I",3523474,3524586,1113,"-","gene","dprA","BP_RS02790",BP0555,"normal",FALSE,NA,"BP_RS02790","DNA-processing protein DprA"
"557","Tohama I",3522452,3523360,909,"-","gene",NA,"BP_RS02795",BP0556,"normal",FALSE,NA,"BP_RS02795","hydroxymethylglutaryl-CoA lyase"
"558","Tohama I",3521833,3522309,477,"-","gene",NA,"BP_RS02800",BP0557,"normal",FALSE,NA,"BP_RS02800","membrane protein"
"559","Tohama I",3520782,3521798,1017,"+","gene",NA,"BP_RS02805",BP0558,"normal",FALSE,NA,"BP_RS02805","amino acid ABC transporter substrate-bindingprotein"
"560","Tohama I",3519427,3520668,1242,"+","gene",NA,"BP_RS02810",BP0559,"normal",FALSE,NA,"BP_RS02810","PLP-dependent aminotransferase family protein"
"561","Tohama I",3518451,3519204,754,"-","gene",NA,"BP_RS02815",BP0560,"normal",TRUE,NA,"BP_RS02815","YggS family pyridoxal phosphate-dependentenzyme"
"562","Tohama I",3517328,3518293,966,"-","gene",NA,"BP_RS02820",BP0561,"normal",FALSE,NA,"BP_RS02820","tripartite tricarboxylate transporter substratebinding protein"
"563","Tohama I",3516790,3517281,492,"+","gene",NA,"BP_RS02825",BP0562,"normal",FALSE,NA,"BP_RS02825","copper chaperone PCu(A)C"
"564","Tohama I",3515795,3516694,900,"+","gene",NA,"BP_RS02830",BP0563,"normal",FALSE,NA,"BP_RS02830","LysR family transcriptional regulator ArgP"
"565","Tohama I",3515030,3515665,636,"-","gene",NA,"BP_RS02835",BP0564,"normal",FALSE,NA,"BP_RS02835","LysE family transporter"
"566","Tohama I",3514083,3515033,951,"+","gene",NA,"BP_RS02840",BP0565,"normal",FALSE,NA,"BP_RS02840","IS481-like element IS481 family transposase"
"567","Tohama I",3513100,3513948,849,"+","gene",NA,"BP_RS02845",BP0566,"normal",FALSE,NA,"BP_RS02845","VOC family protein"
"568","Tohama I",3512190,3512966,777,"-","gene",NA,"BP_RS02850",BP0567,"normal",FALSE,NA,"BP_RS02850","aspartate dehydrogenase"
"569","Tohama I",3511515,3512144,630,"+","gene",NA,"BP_RS02855",BP0568,"normal",FALSE,NA,"BP_RS02855","LysE family translocator"
"570","Tohama I",3510073,3511407,1335,"-","gene","rsmB","BP_RS02860",BP0569,"normal",FALSE,NA,"BP_RS02860","16S rRNA (cytosine(967)-C(5))-methyltransferaseRsmB"
"571","Tohama I",3509443,3510054,612,"-","gene",NA,"BP_RS02865",BP0570,"normal",FALSE,NA,"BP_RS02865","DUF4390 domain-containing protein"
"572","Tohama I",3507137,3509446,2310,"-","gene",NA,"BP_RS02870",BP0571,"normal",FALSE,NA,"BP_RS02870","HAMP domain-containing protein"
